               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.037062,            0.017749,           0.0066629,              0.7667,             0.79908,             0.80534,             0.47501,             0.02498,           0.0066408,           0.0099828,           0.0049015,           0.0049015,           0.0049015
                 105,            0.036934,            0.017612,           0.0060657,             0.76873,             0.79897,             0.80759,             0.47644,            0.024949,           0.0066275,           0.0099803,            0.004852,            0.004852,            0.004852
                 106,            0.036894,            0.017718,           0.0060458,             0.76935,             0.79969,             0.80885,             0.47754,            0.024908,           0.0066153,           0.0099907,           0.0048025,           0.0048025,           0.0048025
                 107,            0.036758,            0.017777,           0.0062655,             0.77119,             0.80286,              0.8097,             0.47916,            0.024869,           0.0066024,            0.010001,            0.004753,            0.004753,            0.004753
                 108,            0.036849,            0.017628,           0.0060727,             0.77443,             0.80244,             0.81309,             0.48012,            0.024831,           0.0065902,           0.0099967,           0.0047035,           0.0047035,           0.0047035
                 109,            0.036561,            0.017518,           0.0059673,             0.77606,             0.80279,             0.81518,             0.48182,            0.024799,           0.0065778,           0.0099924,            0.004654,            0.004654,            0.004654
                 110,            0.036588,             0.01758,           0.0058265,             0.77821,             0.80219,             0.81672,             0.48398,             0.02477,           0.0065657,           0.0099916,           0.0046045,           0.0046045,           0.0046045
                 111,            0.036409,            0.017423,           0.0057383,             0.78205,             0.80362,             0.81822,              0.4849,            0.024744,           0.0065537,           0.0099927,            0.004555,            0.004555,            0.004555
                 112,             0.03629,            0.017509,           0.0059491,             0.78411,             0.80391,             0.81936,             0.48608,            0.024714,           0.0065422,           0.0099903,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03606,            0.017309,           0.0055078,              0.7855,             0.80453,             0.82106,             0.48694,            0.024676,           0.0065284,           0.0099966,            0.004456,            0.004456,            0.004456
                 114,            0.036024,            0.017342,           0.0056416,             0.79023,             0.80278,              0.8222,             0.48799,            0.024643,           0.0065164,            0.010017,           0.0044065,           0.0044065,           0.0044065
                 115,            0.036208,            0.017537,           0.0059053,             0.79525,             0.80353,             0.82467,             0.48944,            0.024606,           0.0065033,            0.010028,            0.004357,            0.004357,            0.004357
                 116,            0.036115,              0.0172,           0.0057487,             0.79428,              0.8044,             0.82662,             0.49087,            0.024577,           0.0064897,            0.010031,           0.0043075,           0.0043075,           0.0043075
                 117,            0.036224,            0.017196,            0.005635,             0.79696,             0.80343,             0.82772,             0.49217,            0.024545,           0.0064772,            0.010032,            0.004258,            0.004258,            0.004258
                 118,            0.036158,            0.017256,           0.0054382,             0.79848,              0.8056,             0.82922,              0.4937,            0.024518,           0.0064646,            0.010041,           0.0042085,           0.0042085,           0.0042085
                 119,            0.036128,            0.017284,           0.0056601,             0.80637,             0.80538,             0.83121,             0.49544,            0.024484,           0.0064525,            0.010056,            0.004159,            0.004159,            0.004159
                 120,             0.03622,              0.0173,           0.0055887,             0.80711,             0.80507,             0.83295,             0.49661,            0.024447,           0.0064421,            0.010071,           0.0041095,           0.0041095,           0.0041095
                 121,            0.035826,            0.017179,           0.0054908,             0.80978,             0.80485,              0.8337,              0.4982,            0.024408,           0.0064311,            0.010078,             0.00406,             0.00406,             0.00406
                 122,            0.035315,            0.017114,            0.005604,             0.81012,             0.80653,             0.83505,             0.49947,            0.024373,           0.0064186,            0.010097,           0.0040105,           0.0040105,           0.0040105
