               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.039135,            0.018413,           0.0070128,             0.74502,             0.75327,             0.76642,             0.45942,            0.025167,           0.0067841,            0.009346,            0.006436,            0.006436,            0.006436
                  74,            0.039079,            0.018331,           0.0070295,             0.74618,             0.75412,             0.76681,             0.45907,            0.025145,            0.006777,           0.0093259,           0.0063865,           0.0063865,           0.0063865
                  75,            0.039123,            0.018503,           0.0073331,             0.74629,             0.75517,             0.76789,             0.45998,            0.025126,           0.0067698,           0.0093223,            0.006337,            0.006337,            0.006337
                  76,            0.038732,            0.018508,           0.0071307,             0.74895,             0.75458,             0.76903,             0.46131,            0.025104,           0.0067602,           0.0093006,           0.0062875,           0.0062875,           0.0062875
                  77,            0.038976,            0.018462,           0.0070238,             0.75976,             0.75256,             0.77002,              0.4613,            0.025086,            0.006753,           0.0093142,            0.006238,            0.006238,            0.006238
                  78,              0.0388,            0.018486,           0.0068623,             0.75968,             0.75405,              0.7711,             0.46255,             0.02506,            0.006745,           0.0093156,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038541,            0.018412,           0.0069741,              0.7605,             0.75499,             0.77175,             0.46343,            0.025033,           0.0067385,           0.0093056,            0.006139,            0.006139,            0.006139
                  80,            0.038323,            0.018229,           0.0067318,             0.75529,             0.75801,             0.77309,             0.46413,            0.025007,           0.0067291,           0.0093071,           0.0060895,           0.0060895,           0.0060895
                  81,            0.038509,            0.018284,           0.0066749,             0.75423,              0.7595,             0.77441,             0.46513,            0.024978,           0.0067218,           0.0092948,             0.00604,             0.00604,             0.00604
                  82,            0.038369,            0.018026,           0.0062897,             0.75152,             0.76307,             0.77536,             0.46607,            0.024946,           0.0067155,           0.0092792,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038217,            0.018183,           0.0065465,             0.75492,             0.76449,             0.77686,             0.46743,            0.024915,           0.0067072,           0.0092578,            0.005941,            0.005941,            0.005941
                  84,            0.038293,            0.018168,           0.0063942,             0.75702,             0.76507,             0.77856,             0.46842,             0.02489,           0.0066992,           0.0092443,           0.0058915,           0.0058915,           0.0058915
                  85,            0.037929,            0.018146,           0.0064545,             0.76172,             0.76474,             0.78058,             0.46926,            0.024861,           0.0066931,            0.009255,            0.005842,            0.005842,            0.005842
                  86,            0.037938,            0.018056,           0.0065447,             0.76236,             0.76417,             0.78149,             0.46976,            0.024832,           0.0066815,           0.0092588,           0.0057925,           0.0057925,           0.0057925
                  87,            0.038154,            0.018091,           0.0063035,             0.76196,             0.76489,             0.78199,              0.4707,            0.024812,           0.0066754,           0.0092802,            0.005743,            0.005743,            0.005743
                  88,            0.038082,             0.01802,           0.0064372,             0.76173,              0.7642,             0.78212,             0.47202,            0.024776,           0.0066678,            0.009279,           0.0056935,           0.0056935,           0.0056935
                  89,             0.03799,            0.017909,           0.0060662,             0.76529,              0.7635,             0.78291,             0.47223,            0.024745,           0.0066568,            0.009289,            0.005644,            0.005644,            0.005644
                  90,            0.037997,            0.017906,           0.0060288,             0.76914,             0.76534,             0.78553,              0.4737,            0.024713,           0.0066475,           0.0093108,           0.0055945,           0.0055945,           0.0055945
                  91,            0.037639,            0.017953,           0.0061583,              0.7675,             0.76563,             0.78518,             0.47397,            0.024677,           0.0066374,           0.0093238,            0.005545,            0.005545,            0.005545
                  92,            0.037727,            0.017917,           0.0059635,             0.77163,             0.76452,              0.7856,             0.47486,            0.024645,            0.006628,           0.0093367,           0.0054955,           0.0054955,           0.0054955
                  93,            0.037641,            0.017845,            0.006002,             0.77187,             0.76675,             0.78697,             0.47595,             0.02462,           0.0066168,           0.0093386,            0.005446,            0.005446,            0.005446
                  94,            0.037699,            0.017839,           0.0057788,             0.77497,             0.76917,             0.78807,             0.47664,            0.024596,           0.0066084,           0.0093468,           0.0053965,           0.0053965,           0.0053965
                  95,            0.037352,            0.017755,           0.0057533,             0.77429,             0.77278,             0.78924,             0.47726,            0.024568,           0.0065988,           0.0093403,            0.005347,            0.005347,            0.005347
                  96,            0.037109,            0.017714,            0.005865,             0.77396,             0.77397,             0.79131,             0.47879,            0.024543,           0.0065891,            0.009344,           0.0052975,           0.0052975,           0.0052975
                  97,            0.037171,            0.017784,           0.0055688,             0.77571,             0.77595,             0.79251,             0.47957,            0.024509,           0.0065774,           0.0093294,            0.005248,            0.005248,            0.005248
                  98,             0.03721,            0.017701,           0.0058464,              0.7718,             0.78409,             0.79552,             0.48039,            0.024477,           0.0065669,            0.009335,           0.0051985,           0.0051985,           0.0051985
                  99,            0.037167,            0.017709,            0.005947,             0.77157,             0.78324,             0.79431,             0.48174,            0.024441,           0.0065571,           0.0093422,            0.005149,            0.005149,            0.005149
                 100,            0.037281,            0.017559,           0.0057111,             0.77083,             0.78586,             0.79483,             0.48268,            0.024407,           0.0065459,            0.009351,           0.0050995,           0.0050995,           0.0050995
                 101,            0.036866,            0.017694,           0.0055543,             0.77533,             0.78588,             0.79611,             0.48419,            0.024375,           0.0065369,           0.0093577,             0.00505,             0.00505,             0.00505
                 102,            0.036829,            0.017503,           0.0057765,               0.779,             0.78628,             0.79646,             0.48509,            0.024349,           0.0065268,           0.0093573,           0.0050005,           0.0050005,           0.0050005
