               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.038632,            0.018455,            0.005555,             0.79761,             0.75445,             0.83979,             0.51048,            0.025534,           0.0073156,           0.0029233,            0.005149,            0.005149,            0.005149
                 100,            0.038453,            0.018334,           0.0059014,              0.8004,             0.75379,             0.84011,             0.51179,            0.025498,           0.0073083,           0.0029203,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038439,            0.018165,           0.0056449,             0.80086,             0.75428,             0.84106,             0.51184,            0.025463,           0.0072984,           0.0029039,             0.00505,             0.00505,             0.00505
                 102,            0.038203,            0.018397,           0.0055849,             0.80179,              0.7556,             0.84177,              0.5127,            0.025423,           0.0072868,           0.0028858,           0.0050005,           0.0050005,           0.0050005
                 103,            0.038414,            0.018014,           0.0056773,             0.80128,             0.75732,             0.84223,             0.51348,            0.025378,           0.0072776,           0.0028622,            0.004951,            0.004951,            0.004951
                 104,            0.037941,            0.018172,             0.00537,             0.80089,             0.75761,             0.84323,             0.51403,            0.025339,           0.0072647,           0.0028623,           0.0049015,           0.0049015,           0.0049015
                 105,            0.037852,            0.018179,           0.0054785,             0.80561,             0.76014,             0.84433,             0.51559,            0.025299,           0.0072542,           0.0028466,            0.004852,            0.004852,            0.004852
                 106,            0.038096,            0.018121,           0.0051644,             0.80642,             0.76128,             0.84597,             0.51611,            0.025267,           0.0072443,           0.0028398,           0.0048025,           0.0048025,           0.0048025
                 107,            0.037803,            0.018018,           0.0054061,             0.80809,             0.76201,              0.8475,             0.51822,            0.025238,           0.0072329,           0.0028233,            0.004753,            0.004753,            0.004753
                 108,            0.037788,            0.017917,           0.0056452,             0.81144,             0.76185,             0.88688,             0.54203,            0.025202,           0.0072225,           0.0028284,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03759,            0.017911,            0.004971,             0.81493,             0.76104,             0.88734,             0.54307,            0.025172,           0.0072114,           0.0028214,            0.004654,            0.004654,            0.004654
